HComment,HCommenter,HContribute,HDate,HThanks,HTime,HTravelType,HTravelerRating,h_Hotel_name,h_reviewer_address,h_reviewer_id,h_title_comment,h_url
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html
"Tọa lạc ngay trung tâm thành phố, cạnh bờ sông Hương thơ mộng. Khách sạn sang trọng, view đẹp, nhân viên thân thiện, phong cách phục vụ rất chuyên nghiệp. Là một nơi đáng để ghé thăm khi đến Huế. Lần sau có dịp tôi nhất định sẽ chọn nơi này.",Lee,23,Tháng 10 năm 2018,N/A,thg 10 2018,N/A,5,Azerai La Residence Hue,N/A,https://www.tripadvisor.com.vn/Profile/pxtx1015,Du lịch,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html
"tôi đã có dịp ghé qua đây để xem phòng, nhưng thái độ nhân viên không hề đón tiếp , tôi phải mất 15 phút đứng đợi nhân viên nói chuyện điện thoại , và nói nội bộ công việc vơi nhau và kể cả khi tôi đợi lâu quá đi ra cũng ko hề gọi lại . dịch vụ 5 sao như vậy đã làm khách rất khó chịu",Tăng Ly,6,Tháng 9 năm 2018,2,thg 9 2018,N/A,2,Azerai La Residence Hue,N/A,https://www.tripadvisor.com.vn/Profile/818lyt,không hài lòng,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html
"Đã không còn quản lý của Accor nhưng service vẫn không thay đổi. Lobby hơi nhỏ , check in nhanh vì thực sự chúng em rất mệt. Phòng view đẹp , nhìn ra vườn. nhưng lối về phòng hay tối. Đi theo diện honney moon nên được ks setup hoa hồng rất đẹp. sẽ tới đây 1 lần nữa khi có dịp.",Lagoon Homestay,94,Tháng 10 năm 2017,24,thg 9 2018,N/A,4,Azerai La Residence Hue,"Hội An, Việt Nam",https://www.tripadvisor.com.vn/Profile/hoianhomestay,Rất tốt theo Tiêu Chuẩn Accor,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html
"Khách sạn nằm ngay vị trí thuận lợi cho việc tham quan Cung Đình Huế, Cầu Tràng Tiền, phố đi bộ. Ngắm được cảnh sông Hương. Không gian khách sạn theo kiến trúc Pháp. Xa hoa, lộng lẫy. Ngoài không gian khách sạn, tại đây còn có một khu vườn trồng toàn hoa sứ. Thật không may là đi không đúng dịp hoa nỡ. Khách sạn có hồ bơi nằm phía sau, ngắm được toàn cảnh sông Hương, cũng như có thể thư giản, vì tránh được tiếng ồn của phương tiện giao thông. Tuy nhiên nước trong hồ hơi lạnh. Tại đây còn có phòng gym, có thể rèn luyện sức khoẻ. Dụng cụ khá đầy đủ. Nhân viên ở đây rất thân thiện, tôi thích con người ở đây, tuy không phải là các bạn trẻ, nhưng hok rất nhanh nhẹn. Ngoài ra đều tôi thích ở họ là sự tận tâm, nhiệt huyết trong công việc, rất chăm chỉ, và đầy kinh",Schaeme Tu Travel Leisure,185,Tháng 11 năm 2017,109,thg 11 2017,N/A,5,Azerai La Residence Hue,"Cần Thơ, Việt Nam",https://www.tripadvisor.com.vn/Profile/schaemetutravel,"Thân Thiện, Thoải Mái.",https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html
Nhiều lần dẫn khách check in khách sạn 5 sao từ Huế- Đà Nẵng -Hội an nhưng duy nhất khách sạn La residence là có thái độ thiếu tôn trọng hướng viên. Thiết nghĩ chắc chúng tôi không phải là khách. Mỗi khi dẫn khách đến là chỉ mang welcome drinks cho khách thôi còn hướng dẫn thì cả khách sạn chẳng ai thấy hết. Đang giới thiệu những thông tin cho khách thì lễ tân chen ngang để nói chuyện với khách. Thật tình thái độ của một khách sạn 5 sao thật buồn cười.,Bang D,1,Tháng 5 năm 2017,17,thg 5 2017,N/A,3,Azerai La Residence Hue,N/A,https://www.tripadvisor.com.vn/Profile/BangD92,Hướng dẫn viên rất được quan tâm ở khách sạn?,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html
"Mình vừa mới ở ks tuần trước. Mình rất hài lòng về phòng ốc rất đẹp và sạch sẽ, Đặc biệt cực thích hồ bơi ở đây, nước sạch sẽ, ít nghe mùi clo và có cả hồ bơi nước ấm. không gian nhiều cây xanh, thanh tịnh. các món Việt ở nhà hàng khá ngon, trình bày đẹp. Nhân viên rất thân thiện và cách phục vụ rất nhiệt tình chu đáo. Nếu có dịp mình sẽ quay trở lại nữa.",Lehang,5,Tháng 3 năm 2022,N/A,thg 3 2022,N/A,5,Pilgrimage Village,N/A,https://www.tripadvisor.com.vn/Profile/Truonglehang,Kỳ nghỉ tuyệt vời,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html
"Một trong những khách sạn cổ theo kiến trúc Pháp. Vị trí cạnh sông Hương, nằm góc đường Nguyễn Huệ, Lê lợi. Kiến trúc quy hoạch khách sạn rất đẹp. Hồ bơi rộng thoáng, vườn và cảnh quan tuyệt vời. Nhân viên tốt.",Khoapda,301,Tháng 3 năm 2017,155,thg 4 2017,Đã du lịch một mình,5,Azerai La Residence Hue,"Thành phố Hồ Chí Minh, Việt Nam",https://www.tripadvisor.com.vn/Profile/Khoapda,Khách sạn cổ kính,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d585172-Reviews-or5-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Tôi và gia đình đã ở Pilgrimage Village Boutique Resort & Spa năm 2019 nhưng năm nay (2020) tôi vẫn quyết định quay lại Huế và vẫn ở 2 đêm Pilgrimage Village Boutique Resort & Spa. Lý do rất đơn giản ngoài chất lượng phòng nghỉ cùng trang thiết bị quá tuyệt vời thì các dịch vụ đi kèm như bể bơi rất ấn tượng, rộng và rất sạch, đồ ăn sáng rất ngon và đa dạng, không gian yên tĩnh, cây cối được thiết kế rất hài hòa, rất gần gũi với thiên nhiên làm cho tôi và gia đình cảm thấy luôn muốn quay lại. Dịch vụ từ nhân viên làm cỏ ở vườn, nhân viên Hành Lý, Lễ Tân, Nhà Hàng đến nhân viên Spa rất thân thiện, gần gũi, & mến khách. Tôi thực cảm nhận được ở người quản lý điều hành Pilgrimage Village Boutique Resort & Spa là người rất có tâm, có tầm và có tài!",Hung Vu (Bill),32,Tháng 9 năm 2020,59,thg 9 2020,N/A,5,Pilgrimage Village,"Hà Nội, Việt Nam",https://www.tripadvisor.com.vn/Profile/vvhunghn,Rất tuyệt vời và vô cùng ấn tượng,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d582872-Reviews-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html
