HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"5 Le Loi Vinh Ninh Ward, Hue 530000 Vietnam",4,74,1612,"English, Vietnamese",Azerai La Residence Hue,$298 ,N/A,$181 - $298,"What are some of the property amenities at Azerai La Residence Hue?, ,Which room amenities are available at Azerai La Residence Hue?, ,What food & drink options are available at Azerai La Residence Hue?, ,Is parking available at Azerai La Residence Hue?, ,Are there opportunities to exercise at Azerai La Residence Hue?, ,Does Azerai La Residence Hue have airport transportation?, ,Are any cleaning services offered at Azerai La Residence Hue?, ,Does Azerai La Residence Hue offer any business services?, ,Which languages are spoken by the staff at Azerai La Residence Hue?, ,Does Azerai La Residence Hue have any great views?, ,Is Azerai La Residence Hue accessible?, ",197,"2,738",#8 of 138 hotels in Hue,4.5,5,20,Excellent,122,"Business,Romantic",127,https://www.tripadvisor.com/Hotel_Review-g293926-d585172-Reviews-Azerai_La_Residence_Hue-Hue_Thua_Thien_Hue_Province.html
"130 Minh Mang Road, Hue Vietnam",113,42,2624,"English, Vietnamese",Pilgrimage Village,$218 ,N/A,$65 - $218,"Which popular attractions are close to Pilgrimage Village?, ,What are some of the property amenities at Pilgrimage Village?, ,Which room amenities are available at Pilgrimage Village?, ,What food & drink options are available at Pilgrimage Village?, ,Is parking available at Pilgrimage Village?, ,What are some restaurants close to Pilgrimage Village?, ,Are there opportunities to exercise at Pilgrimage Village?, ,Does Pilgrimage Village have an airport shuttle?, ,Does Pilgrimage Village have airport transportation?, ,Are any cleaning services offered at Pilgrimage Village?, ,Does Pilgrimage Village offer any business services?, ",725,"2,841",#2 of 7 resorts in Hue,4.5,4.5,464,Excellent,173,"Family,Park View",416,https://www.tripadvisor.com/Hotel_Review-g293926-d582872-Reviews-Pilgrimage_Village-Hue_Thua_Thien_Hue_Province.html
"21/42 Nguyen Cong Tru street, Hue 0084 Vietnam",27,91,844,"English, Vietnamese",Hue Serene Palace Hotel,$29 ,N/A,$19 - $29,"Which popular attractions are close to Hue Serene Palace Hotel?, ,What are some of the property amenities at Hue Serene Palace Hotel?, ,What food & drink options are available at Hue Serene Palace Hotel?, ,What are some restaurants close to Hue Serene Palace Hotel?, ,Does Hue Serene Palace Hotel have airport transportation?, ,Are any cleaning services offered at Hue Serene Palace Hotel?, ,Which languages are spoken by the staff at Hue Serene Palace Hotel?, ,Are there any historical sites close to Hue Serene Palace Hotel?, ,Is Hue Serene Palace Hotel accessible?, ",227,"3,055",#7 of 138 hotels in Hue,5,3,142,Excellent,Hue,"Family,Modern",140,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html
"Dan Dien Street, Sia 49206 Vietnam",N/A,N/A,N/A,N/A,Hotel Truong Tinh,$19 ,N/A,$14 - $19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sia,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g19656172-d19635838-Reviews-Hotel_Truong_Tinh-Sia_Thua_Thien_Hue_Province.html
"02 Nguyen Lu, Thuan An 530000 Vietnam",N/A,N/A,N/A,N/A,Capital O 1078 Sun And Sea Resort Hue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Thuan An,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g12293805-d21026796-Reviews-Capital_O_1078_Sun_And_Sea_Resort_Hue-Thuan_An_Thua_Thien_Hue_Province.html
"Phu Thuan Beach, Phu Thuan Town, Hue, An Duong 53000 Vietnam",N/A,N/A,263,"English, French, Vietnamese",Villa Louise Hue Beach & Spa,$103 ,N/A,$61 - $103,"What are some of the property amenities at Villa Louise Hue Beach & Spa?, ,Which room amenities are available at Villa Louise Hue Beach & Spa?, ,What food & drink options are available at Villa Louise Hue Beach & Spa?, ,Is parking available at Villa Louise Hue Beach & Spa?, ,Are there opportunities to exercise at Villa Louise Hue Beach & Spa?, ,Does Villa Louise Hue Beach & Spa have an airport shuttle?, ,Does Villa Louise Hue Beach & Spa have airport transportation?, ,Are any cleaning services offered at Villa Louise Hue Beach & Spa?, ,Which languages are spoken by the staff at Villa Louise Hue Beach & Spa?, ,Does Villa Louise Hue Beach & Spa have any great views?, ",75,196,#1 of 1 hotel in An DÆ°Æ¡ng,4.5,N/A,N/A,Excellent,25,Romantic,28,https://www.tripadvisor.com/Hotel_Review-g12257234-d8595278-Reviews-Villa_Louise_Hue_Beach_Spa-An_Duong_Thua_Thien_Hue_Province.html
Canh Duong Vietnam,N/A,N/A,N/A,N/A,Nha Nghi Bien Xanh,$11 ,N/A,$11 - $11,"Which popular attractions are close to Nha Nghi Bien Xanh?, ,What are some restaurants close to Nha Nghi Bien Xanh?, ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Canh Duong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g12866428-d19929423-Reviews-Nha_Nghi_Bien_Xanh-Canh_Duong_Phu_Loc_District_Thua_Thien_Hue_Province.html
"Binh An 1, Loc Vinh Commune, Canh Duong Vietnam",N/A,N/A,N/A,"English, Vietnamese",Binh An Guest House,$11 ,N/A,$11 - $11,"What are some of the property amenities at Binh An Guest House?, ,Is parking available at Binh An Guest House?, ,Does Binh An Guest House have airport transportation?, ,Are pets allowed at Binh An Guest House?, ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Canh Duong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g12866428-d12330840-Reviews-Binh_An_Guest_House-Canh_Duong_Phu_Loc_District_Thua_Thien_Hue_Province.html
"Phu Thuan Beach Xuan An road, An Duong Vietnam",N/A,N/A,177,N/A,The Beach Bar Hue,$35 ,N/A,$19 - $35,"Which popular attractions are close to The Beach Bar Hue?, ,What are some of the property amenities at The Beach Bar Hue?, ,What food & drink options are available at The Beach Bar Hue?, ,Is parking available at The Beach Bar Hue?, ,What are some restaurants close to The Beach Bar Hue?, ,Is The Beach Bar Hue located near the city center?, ,Are there any historical sites close to The Beach Bar Hue?, ",21,164,#1 of 1 hostel in An DÆ°Æ¡ng,4,2,N/A,Very good,8,N/A,8,https://www.tripadvisor.com/Hotel_Review-g12257234-d4599698-Reviews-The_Beach_Bar_Hue-An_Duong_Thua_Thien_Hue_Province.html
"463 Lac Long Quan Street, Lang Co 530000 Vietnam",1,42,316,"English, Vietnamese",Lang Co Beach Resort,$84 ,N/A,$32 - $84,"Which popular attractions are close to LÄƒng CÃ´ Beach Resort?, ,What are some of the property amenities at LÄƒng CÃ´ Beach Resort?, ,Which room amenities are available at LÄƒng CÃ´ Beach Resort?, ,What food & drink options are available at LÄƒng CÃ´ Beach Resort?, ,Is parking available at LÄƒng CÃ´ Beach Resort?, ,What are some restaurants close to LÄƒng CÃ´ Beach Resort?, ,Are there opportunities to exercise at LÄƒng CÃ´ Beach Resort?, ,Are any cleaning services offered at LÄƒng CÃ´ Beach Resort?, ,Which languages are spoken by the staff at LÄƒng CÃ´ Beach Resort?, ,Are there any historical sites close to LÄƒng CÃ´ Beach Resort?, ,Does LÄƒng CÃ´ Beach Resort have any great views?, ",54,206,#1 of 1 resort in Lang Co,3.5,4,10,Very good,88,N/A,22,https://www.tripadvisor.com/Hotel_Review-g11923533-d456980-Reviews-Lang_Co_Beach_Resort-Lang_Co_Phu_Loc_District_Thua_Thien_Hue_Province.html
